component,explained_variance_ratio,cumulative_explained_variance_ratio
236,0.00028639571510236534,0.9550787385870878
237,0.0002848498368345554,0.9553635884239223
238,0.000280810781325705,0.955644399205248
239,0.00027966945541180687,0.9559240686606598
240,0.00027802120139528834,0.9562020898620551
241,0.00027620745133806793,0.9564782973133932
242,0.0002712092254961426,0.9567495065388893
243,0.00026932181307064753,0.95701882835196
244,0.0002686049977724959,0.9572874333497324
245,0.00026809546703658826,0.957555528816769
246,0.00026511488218473487,0.9578206436989537
247,0.00026352440784480476,0.9580841681067985
248,0.00026259839865566204,0.9583467665054541
249,0.0002620908286517394,0.9586088573341058
250,0.0002580793868191993,0.958866936720925
251,0.0002573747479255949,0.9591243114688507
252,0.0002561102664739115,0.9593804217353246
253,0.0002529499161072151,0.9596333716514318
254,0.00025185548650744343,0.9598852271379392
255,0.00025064617926932176,0.9601358733172085
256,0.0002498319064330332,0.9603857052236415
257,0.0002486946419346835,0.9606343998655762
258,0.0002473243597122498,0.9608817242252884
259,0.0002458891006929987,0.9611276133259814
260,0.00024390384535718252,0.9613715171713386
261,0.0002433915013664055,0.961614908672705
262,0.00024069857594354914,0.9618556072486486
263,0.00023885112828385266,0.9620944583769324
264,0.00023641241265165164,0.962330870789584
265,0.00023582569285219933,0.9625666964824362
266,0.00023411875331768832,0.9628008152357539
267,0.00023340786459355038,0.9630342231003475
268,0.00023171895341764275,0.9632659420537651
269,0.0002300685888715278,0.9634960106426367
270,0.00022965506085523277,0.9637256657034919
271,0.00022862498495769234,0.9639542906884496
272,0.00022563988213045427,0.96417993057058
273,0.00022504106916420089,0.9644049716397443
274,0.00022358739836092348,0.9646285590381052
275,0.0002228063803983829,0.9648513654185036
276,0.00022001637598970686,0.9650713817944933
277,0.0002191152846001274,0.9652904970790934
278,0.00021839323707591627,0.9655088903161694
279,0.00021734058849869143,0.965726230904668
280,0.0002151559326190271,0.965941386837287
281,0.00021215075807975268,0.9661535375953668
282,0.00021155770539722486,0.9663650953007641
283,0.0002104562302927077,0.9665755515310568
284,0.00020971359069374892,0.9667852651217506
285,0.00020692979439867012,0.9669921949161492
286,0.0002061830850313604,0.9671983780011806
287,0.00020486575037206782,0.9674032437515526
288,0.00020448939828330372,0.967607733149836
289,0.0002032615983961218,0.9678109947482321
290,0.00020115980925603205,0.9680121545574881
291,0.00020028863586969922,0.9682124431933579
292,0.00020007778364799017,0.9684125209770058
293,0.00019918908153520102,0.968611710058541
294,0.00019740388205377057,0.9688091139405948
295,0.0001953924580564555,0.9690045063986512
296,0.00019518087702845795,0.9691996872756796
297,0.00019305631199098664,0.9693927435876706
298,0.00019239719369314406,0.9695851407813637
299,0.00019164732045907147,0.9697767881018228
300,0.0001908250220410284,0.9699676131238638
301,0.0001897058064428362,0.9701573189303067
302,0.0001882978641247585,0.9703456167944314
303,0.00018605044560460966,0.970531667240036
304,0.00018503030536752853,0.9707166975454036
305,0.00018388961470389476,0.9709005871601075
306,0.0001836770852184073,0.9710842642453259
307,0.00018259845811604316,0.971266862703442
308,0.0001811254331127647,0.9714479881365548
309,0.0001806034987409309,0.9716285916352957
310,0.00017909300992236907,0.971807684645218
311,0.00017792598069322035,0.9719856106259113
312,0.0001774895633217254,0.972163100189233
313,0.0001759070602951343,0.9723390072495282
314,0.00017526944563971201,0.9725142766951679
315,0.00017481059000131236,0.9726890872851692
316,0.00017394270624513983,0.9728630299914144
317,0.0001722612039139655,0.9730352911953284
318,0.00017032006607124834,0.9732056112613996
319,0.0001697057808804688,0.9733753170422801
320,0.0001691606912379404,0.973544477733518
321,0.00016826444073845184,0.9737127421742565
322,0.00016667770826914806,0.9738794198825257
323,0.00016598496476297054,0.9740454048472886
324,0.00016438747255790055,0.9742097923198465
325,0.00016355790225490744,0.9743733502221014
326,0.00016175912941035839,0.9745351093515118
327,0.0001609078648256725,0.9746960172163375
328,0.00016039867458079519,0.9748564158909183
329,0.0001586569264763776,0.9750150728173947
330,0.0001575622962592345,0.9751726351136539
331,0.00015633039620752866,0.9753289655098615
332,0.00015576896819250108,0.975484734478054
333,0.00015485928806450603,0.9756395937661184
334,0.00015412556689602515,0.9757937193330144
335,0.0001528653795904205,0.9759465847126049
336,0.0001518471874884901,0.9760984319000934
337,0.00015104332059647825,0.9762494752206898
338,0.0001499687178134006,0.9763994439385032
339,0.000149290745769571,0.9765487346842727
340,0.00014835173967332114,0.976697086423946
341,0.00014800151152611645,0.9768450879354722
342,0.00014686167058605096,0.9769919496060583
343,0.0001465684534616845,0.97713851805952
344,0.00014506263467876302,0.9772835806941987
345,0.00014375259910164937,0.9774273332933003
346,0.00014330908002325548,0.9775706423733236
347,0.00014297315977765244,0.9777136155331012
348,0.00014130659405562075,0.9778549221271569
349,0.0001406006962149139,0.9779955228233718
350,0.00014039394157536991,0.9781359167649472
351,0.00013883205415081586,0.9782747488190979
352,0.00013797970486116836,0.9784127285239591
353,0.00013775245108376018,0.9785504809750428
354,0.00013699684823311375,0.9786874778232759
355,0.0001359775893371566,0.9788234554126131
356,0.00013514412945829748,0.9789585995420713
357,0.00013479248965523732,0.9790933920317265
358,0.00013412007747596634,0.9792275121092024
359,0.0001331566974036048,0.9793606688066061
360,0.00013215861290672795,0.9794928274195128
361,0.0001313514576010513,0.9796241788771138
362,0.00013062946175970518,0.9797548083388735
363,0.00012995876203180368,0.9798847671009053
364,0.0001294007798907677,0.9800141678807961
365,0.00012851827342184565,0.980142686154218
366,0.00012807763446355658,0.9802707637886815
367,0.00012691007173381392,0.9803976738604153
368,0.0001259647788996033,0.9805236386393149
369,0.00012580313125458236,0.9806494417705695
370,0.00012554109010215052,0.9807749828606716
371,0.00012386475496916035,0.9808988476156407
372,0.00012353496896180387,0.9810223825846025
373,0.00012318569123665008,0.9811455682758392
374,0.00012205877739763731,0.9812676270532369
375,0.00012181949500171915,0.9813894465482386
376,0.00012091693182318234,0.9815103634800617
377,0.00011974912764794871,0.9816301126077096
378,0.00011913349087626452,0.9817492460985858
